"","Site_ID","Date","Site_Subplot","Type","HoboName","Temp","Min","Max","Median","CV","Range","Subplot","LoggerID","TRT","Age","Day","Heatdome","tmeanC","tminC","tmaxC","RangeR","MeanOffset","MinOffset","MaxOffset","RangeOffset"
"1","C1-13",2021-06-02,"C1-13_E","Air","2401795.csv",18.1168333333333,12.11,30.659,14.9475,37.9937666295688,18.549,"E","2401795","THIN",63,2,0,17.3,11.15,23.45,12.3,-0.816833333333332,-0.959999999999999,-7.209,-6.249
"2","C1-13",2021-06-20,"C1-13_E","Air","2401795.csv",19.13525,11.916,31.574,18.711,35.6022892584297,19.658,"E","2401795","THIN",63,20,0,20.1,11.35,28.85,17.5,0.964750000000002,-0.566000000000001,-2.724,-2.158
"3","C1-13",2021-06-21,"C1-13_E","Air","2401795.csv",21.50675,14.23,33.43,19.473,33.3033104668429,19.2,"E","2401795","THIN",63,21,0,21.95,14.55,29.35,14.8,0.443249999999999,0.32,-4.08,-4.4
"4","C1-13",2021-06-01,"C1-13_E","Air","2401795.csv",23.4356666666667,17.95,36.079,20.1865,28.1481514713695,18.129,"E","2401795","THIN",63,1,0,20.25,10.55,29.95,19.4,-3.18566666666667,-7.4,-6.129,1.271
"5","C1-13",2021-06-15,"C1-13_E","Air","2401795.csv",14.1768333333333,11.334,19.377,13.124,20.7640746076357,8.043,"E","2401795","THIN",63,15,0,13.45,8.45,18.45,10,-0.726833333333333,-2.884,-0.927,1.957
"6","C1-13",2021-06-03,"C1-13_E","Air","2401795.csv",12.9343333333333,10.063,15.187,13.173,11.7372867361651,5.124,"E","2401795","THIN",63,3,0,12.25,5.35,19.15,13.8,-0.684333333333333,-4.713,3.963,8.676
"7","C1-13",2021-06-19,"C1-13_E","Air","2401795.csv",14.3515833333333,11.334,23.388,12.9795,25.1876396367531,12.054,"E","2401795","THIN",63,19,0,14.6,8.35,20.85,12.5,0.248416666666666,-2.984,-2.538,0.446
"8","C1-13",2021-06-05,"C1-13_E","Air","2401795.csv",11.6095833333333,8.779,14.9,11.6735,14.1305287955337,6.121,"E","2401795","THIN",63,5,0,10.95,6.55,15.35,8.8,-0.659583333333334,-2.229,0.449999999999999,2.679
"9","C1-13",2021-06-06,"C1-13_E","Air","2401795.csv",9.37558333333333,7.983,11.528,8.8785,13.6057670138769,3.545,"E","2401795","THIN",63,6,0,9.75,5.95,13.55,7.6,0.374416666666667,-2.033,2.022,4.055
"10","C1-13",2021-06-07,"C1-13_E","Air","2401795.csv",10.4478333333333,6.775,15.76,10.4035,30.1173590419999,8.985,"E","2401795","THIN",63,7,0,10.45,5.65,15.25,9.6,0.00216666666666576,-1.125,-0.51,0.615
"11","C1-13",2021-06-04,"C1-13_E","Air","2401795.csv",14.0958333333333,8.581,23.388,12.9785,36.134938921179,14.807,"E","2401795","THIN",63,4,0,13.75,7.85,19.65,11.8,-0.345833333333333,-0.731,-3.738,-3.007
"12","C1-13",2021-06-09,"C1-13_E","Air","2401795.csv",13.0215833333333,7.381,26.39,11.283,47.1616292920107,19.009,"E","2401795","THIN",63,9,0,10.25,3.15,17.35,14.2,-2.77158333333333,-4.231,-9.04,-4.809
"13","C1-13",2021-06-10,"C1-13_E","Air","2401795.csv",13.5074166666667,8.978,22.142,11.6725,34.7584143161612,13.164,"E","2401795","THIN",63,10,0,12.1,6.85,17.35,10.5,-1.40741666666667,-2.128,-4.792,-2.664
"14","C1-13",2021-06-11,"C1-13_E","Air","2401795.csv",10.8344166666667,9.373,13.365,10.553,9.92660920216924,3.992,"E","2401795","THIN",63,11,0,12,8.15,15.85,7.7,1.16558333333333,-1.223,2.485,3.708
"15","C1-13",2021-06-08,"C1-13_E","Air","2401795.csv",13.0203333333333,8.68,27.173,11.0895,41.3035472659678,18.493,"E","2401795","THIN",63,8,0,10.5,3.65,17.35,13.7,-2.52033333333333,-5.03,-9.823,-4.793
"16","C1-13",2021-06-13,"C1-13_E","Air","2401795.csv",13.9563333333333,12.98,15.473,13.941,6.13398175262451,2.493,"E","2401795","THIN",63,13,0,12.35,8.15,16.55,8.4,-1.60633333333333,-4.83,1.077,5.907
"17","C1-13",2021-06-14,"C1-13_E","Air","2401795.csv",16.7851666666667,11.916,29.953,13.509,39.1640709194946,18.037,"E","2401795","THIN",63,14,0,14.55,9.55,19.55,10,-2.23516666666666,-2.366,-10.403,-8.037
"18","C1-13",2021-06-28,"C1-13_E","Air","2401795.csv",28.7129166666667,15.187,38.046,30.862,25.9584812933293,22.859,"E","2401795","THIN",63,28,1,25.95,16.05,35.85,19.8,-2.76291666666667,0.863000000000001,-2.196,-3.059
"19","C1-13",2021-06-16,"C1-13_E","Air","2401795.csv",16.2013333333333,11.041,26.195,13.7015,32.6470306437373,15.154,"E","2401795","THIN",63,16,0,14.35,6.15,22.55,16.4,-1.85133333333333,-4.891,-3.645,1.246
"20","C1-13",2021-06-17,"C1-13_E","Air","2401795.csv",17.0031666666667,12.11,27.862,14.0855,34.5167374838504,15.752,"E","2401795","THIN",63,17,0,14.8,6.95,22.65,15.7,-2.20316666666666,-5.16,-5.212,-0.0519999999999996
"21","C1-13",2021-06-18,"C1-13_E","Air","2401795.csv",14.37225,11.625,19.758,13.3645,17.6906860067878,8.133,"E","2401795","THIN",63,18,0,12.75,5.45,20.05,14.6,-1.62225,-6.175,0.292000000000002,6.467
"22","C1-13",2021-06-20,"C1-13_N","Air","9784547.csv",18.7966666666667,11.916,28.06,19.4245,32.1290510770302,16.144,"N","9784547","THIN",63,20,0,20.1,11.35,28.85,17.5,1.30333333333333,-0.566000000000001,0.790000000000003,1.356
"23","C1-13",2021-06-21,"C1-13_N","Air","9784547.csv",20.891,14.23,30.356,19.5205,27.0181256740564,16.126,"N","9784547","THIN",63,21,0,21.95,14.55,29.35,14.8,1.059,0.32,-1.006,-1.326
"24","C1-13",2021-06-22,"C1-13_N","Air","9784547.csv",14.94925,12.207,19.758,13.99,15.4970736401444,7.551,"N","9784547","THIN",63,22,0,17.6,11.85,23.35,11.5,2.65075,-0.357000000000001,3.592,3.949
"25","C1-13",2021-06-22,"C1-13_E","Air","2401795.csv",15.029,12.304,20.329,14.0855,16.0300243490725,8.025,"E","2401795","THIN",63,22,0,17.6,11.85,23.35,11.5,2.571,-0.454000000000001,3.021,3.475
"26","C1-13",2021-06-23,"C1-13_E","Air","2401795.csv",15.2750833333333,11.528,28.456,12.93,35.1697088342233,16.928,"E","2401795","THIN",63,23,0,16.55,11.15,21.95,10.8,1.27491666666667,-0.378,-6.506,-6.128
"27","C1-13",2021-06-24,"C1-13_E","Air","2401795.csv",17.64175,11.819,33.535,14.229,43.047160494702,21.716,"E","2401795","THIN",63,24,1,17.7,10.85,24.55,13.7,0.058250000000001,-0.969000000000001,-8.985,-8.01599999999999
"28","C1-13",2021-06-25,"C1-13_E","Air","2401795.csv",22.5985,12.207,38.714,21.809,43.3795493307784,26.507,"E","2401795","THIN",63,25,1,23.15,13.65,32.65,19,0.551499999999997,1.443,-6.064,-7.507
"29","C1-13",2021-06-26,"C1-13_E","Air","2401795.csv",27.1458333333333,18.996,39.05,25.4165,25.442994608894,20.054,"E","2401795","THIN",63,26,1,26.4,16.95,35.85,18.9,-0.745833333333334,-2.046,-3.2,-1.154
"30","C1-13",2021-06-27,"C1-13_E","Air","2401795.csv",33.74675,18.901,52.873,33.641,33.7614495303724,33.972,"E","2401795","THIN",63,27,1,31.85,20.35,43.35,23,-1.89675,1.449,-9.523,-10.972
"31","C1-13",2021-06-16,"C1-13_N","Air","9784547.csv",16.2254166666667,11.139,25.319,13.7015,32.5220781800561,14.18,"N","9784547","THIN",63,16,0,14.35,6.15,22.55,16.4,-1.87541666666667,-4.989,-2.769,2.22
"32","C1-13",2021-06-17,"C1-13_N","Air","9784547.csv",16.6873333333333,12.207,26.879,13.9415,31.3139525328094,14.672,"N","9784547","THIN",63,17,0,14.8,6.95,22.65,15.7,-1.88733333333333,-5.257,-4.229,1.028
"33","C1-13",2021-06-18,"C1-13_N","Air","9784547.csv",14.6985,11.722,21.951,13.4605,20.5847823538884,10.229,"N","9784547","THIN",63,18,0,12.75,5.45,20.05,14.6,-1.9485,-6.272,-1.901,4.371
"34","C1-13",2021-06-19,"C1-13_N","Air","9784547.csv",14.54425,11.334,24.738,13.028,26.9018281818706,13.404,"N","9784547","THIN",63,19,0,14.6,8.35,20.85,12.5,0.0557499999999997,-2.984,-3.888,-0.903999999999998
"35","C1-13",2021-06-30,"C1-13_E","Air","2401795.csv",17.7066666666667,14.325,24.448,15.569,20.8120909023804,10.123,"E","2401795","THIN",63,30,0,15.9,11.55,20.25,8.7,-1.80666666666667,-2.775,-4.198,-1.423
"36","C1-13",2021-06-07,"C1-13_N","Air","9784547.csv",10.5925,6.775,15.76,10.5995,30.5736586932307,8.985,"N","9784547","THIN",63,7,0,10.45,5.65,15.25,9.6,-0.1425,-1.125,-0.51,0.615
"37","C1-13",2021-06-08,"C1-13_N","Air","9784547.csv",13.0781666666667,8.779,21.187,11.1875,35.4517630458756,12.408,"N","9784547","THIN",63,8,0,10.5,3.65,17.35,13.7,-2.57816666666667,-5.129,-3.837,1.292
"38","C1-13",2021-06-23,"C1-13_N","Air","9784547.csv",14.91725,11.528,25.319,12.882,29.5996417462803,13.791,"N","9784547","THIN",63,23,0,16.55,11.15,21.95,10.8,1.63275,-0.378,-3.369,-2.991
"39","C1-13",2021-06-24,"C1-13_N","Air","9784547.csv",16.5463333333333,11.916,25.805,14.1335,32.1659586148808,13.889,"N","9784547","THIN",63,24,1,17.7,10.85,24.55,13.7,1.15366666666667,-1.066,-1.255,-0.188999999999998
"40","C1-13",2021-06-25,"C1-13_N","Air","9784547.csv",21.7435833333333,12.401,34.058,22.7645,37.2260763691581,21.657,"N","9784547","THIN",63,25,1,23.15,13.65,32.65,19,1.40641666666667,1.249,-1.408,-2.657
"41","C1-13",2021-06-26,"C1-13_N","Air","9784547.csv",26.5349166666667,19.377,35.649,25.7085,19.5605815037275,16.272,"N","9784547","THIN",63,26,1,26.4,16.95,35.85,18.9,-0.134916666666669,-2.427,0.201000000000001,2.628
"42","C1-13",2021-06-12,"C1-13_E","Air","2401795.csv",14.8086666666667,9.472,24.158,14.1335,33.8196783111052,14.686,"E","2401795","THIN",63,12,0,14.85,8.15,21.55,13.4,0.0413333333333323,-1.322,-2.608,-1.286
"43","C1-13",2021-06-28,"C1-13_N","Air","9784547.csv",28.50975,14.9,34.163,31.676,25.2325241148933,19.263,"N","9784547","THIN",63,28,1,25.95,16.05,35.85,19.8,-2.55975,1.15,1.687,0.537000000000003
"44","C1-13",2021-06-29,"C1-13_N","Air","9784547.csv",18.62675,14.325,29.853,16.713,27.1326501487733,15.528,"N","9784547","THIN",63,29,0,19.05,14.95,23.15,8.2,0.423249999999999,0.625,-6.703,-7.328
"45","C1-13",2021-06-30,"C1-13_N","Air","9784547.csv",17.2674166666667,14.23,23.004,15.664,17.2080100070328,8.774,"N","9784547","THIN",63,30,0,15.9,11.55,20.25,8.7,-1.36741666666667,-2.68,-2.754,-0.0740000000000016
"46","C1-13",2021-06-04,"C1-13_N","Air","9784547.csv",13.9368333333333,8.481,23.1,13.027,34.8113289983146,14.619,"N","9784547","THIN",63,4,0,13.75,7.85,19.65,11.8,-0.186833333333333,-0.631,-3.45,-2.819
"47","C1-13",2021-06-29,"C1-13_E","Air","2401795.csv",19.56875,14.421,33.743,17.094,31.952283560553,19.322,"E","2401795","THIN",63,29,0,19.05,14.95,23.15,8.2,-0.518750000000001,0.529,-10.593,-11.122
"48","C1-13",2021-06-10,"C1-13_N","Air","9784547.csv",13.0720833333333,8.879,20.329,11.769,29.8722939516656,11.45,"N","9784547","THIN",63,10,0,12.1,6.85,17.35,10.5,-0.972083333333334,-2.029,-2.979,-0.949999999999999
"49","C1-13",2021-06-05,"C1-13_N","Air","9784547.csv",11.779,8.779,14.325,11.8675,14.2554334916529,5.546,"N","9784547","THIN",63,5,0,10.95,6.55,15.35,8.8,-0.829000000000001,-2.229,1.025,3.254
"50","C1-13",2021-06-06,"C1-13_N","Air","9784547.csv",9.3675,7.983,11.625,8.928,13.5518548592712,3.642,"N","9784547","THIN",63,6,0,9.75,5.95,13.55,7.6,0.3825,-2.033,1.925,3.958
"51","C1-13",2021-06-09,"C1-13_N","Air","9784547.csv",12.25425,7.481,23.1,11.3315,37.9324596349141,15.619,"N","9784547","THIN",63,9,0,10.25,3.15,17.35,14.2,-2.00425,-4.331,-5.75,-1.419
"52","C1-13",2021-06-01,"C1-13_N","Air","9784547.csv",23.05925,18.14,33.326,20.1865,24.2425128713501,15.186,"N","9784547","THIN",63,1,0,20.25,10.55,29.95,19.4,-2.80925,-7.59,-3.376,4.214
"53","C1-13",2021-06-11,"C1-13_N","Air","9784547.csv",10.8341666666667,9.275,13.365,10.6015,10.2438762999062,4.09,"N","9784547","THIN",63,11,0,12,8.15,15.85,7.7,1.16583333333333,-1.125,2.485,3.61
"54","C1-13",2021-06-12,"C1-13_N","Air","9784547.csv",14.761,9.373,22.908,14.2295,31.0006137524211,13.535,"N","9784547","THIN",63,12,0,14.85,8.15,21.55,13.4,0.0890000000000004,-1.223,-1.358,-0.135000000000002
"55","C1-13",2021-06-13,"C1-13_N","Air","9784547.csv",13.9964166666667,12.98,15.473,13.989,6.38041244336573,2.493,"N","9784547","THIN",63,13,0,12.35,8.15,16.55,8.4,-1.64641666666667,-4.83,1.077,5.907
"56","C1-13",2021-06-02,"C1-13_N","Air","9784547.csv",17.6195833333333,12.11,28.159,14.948,33.6585254371932,16.049,"N","9784547","THIN",63,2,0,17.3,11.15,23.45,12.3,-0.319583333333334,-0.959999999999999,-4.709,-3.749
"57","C1-13",2021-06-03,"C1-13_N","Air","9784547.csv",12.9584166666667,10.063,15.282,13.173,11.7039607928878,5.219,"N","9784547","THIN",63,3,0,12.25,5.35,19.15,13.8,-0.708416666666666,-4.713,3.868,8.581
"58","C1-13",2021-06-14,"C1-13_N","Air","9784547.csv",16.1785833333333,11.916,25.319,13.461,29.5696336838987,13.403,"N","9784547","THIN",63,14,0,14.55,9.55,19.55,10,-1.62858333333333,-2.366,-5.769,-3.403
"59","C1-13",2021-06-15,"C1-13_N","Air","9784547.csv",14.1614166666667,11.528,19.853,13.0755,20.3256867539586,8.325,"N","9784547","THIN",63,15,0,13.45,8.45,18.45,10,-0.711416666666668,-3.078,-1.403,1.675
"60","C1-13",2021-06-27,"C1-13_N","Air","9784547.csv",33.3049166666667,19.092,49.905,34.85,29.6936554658177,30.813,"N","9784547","THIN",63,27,1,31.85,20.35,43.35,23,-1.45491666666666,1.258,-6.555,-7.813
"61","C1-17",2021-06-10,"C1-17_S","Air","9784512.csv",12.1613333333333,9.472,15.569,11.7705,18.8697752425303,6.097,"S","9784512","THIN",63,10,0,12.1,6.85,17.35,10.5,-0.0613333333333337,-2.622,1.781,4.403
"62","C1-17",2021-06-14,"C1-17_S","Air","9784512.csv",14.1211666666667,12.304,16.713,13.5575,11.6138709303306,4.409,"S","9784512","THIN",63,14,0,14.55,9.55,19.55,10,0.428833333333333,-2.754,2.837,5.591
"63","C1-17",2021-06-21,"C1-17_N","Air","9784544.csv",18.63325,14.038,23.677,17.9975,18.9086438022444,9.639,"N","9784544","THIN",63,21,0,21.95,14.55,29.35,14.8,3.31675,0.512,5.673,5.161
"64","C1-17",2021-06-11,"C1-17_S","Air","9784512.csv",11.0475,9.965,12.207,11.0415,7.09320407299772,2.242,"S","9784512","THIN",63,11,0,12,8.15,15.85,7.7,0.952499999999999,-1.815,3.643,5.458
"65","C1-17",2021-06-09,"C1-17_S","Air","9784512.csv",11.4784166666667,8.282,15.664,11.7705,21.1803566022795,7.382,"S","9784512","THIN",63,9,0,10.25,3.15,17.35,14.2,-1.22841666666667,-5.132,1.686,6.818
"66","C1-17",2021-06-13,"C1-17_S","Air","9784512.csv",14.0130833333333,13.269,14.9,13.75,4.53136810700978,1.631,"S","9784512","THIN",63,13,0,12.35,8.15,16.55,8.4,-1.66308333333333,-5.119,1.65,6.769
"67","C1-17",2021-06-22,"C1-17_N","Air","9784544.csv",14.9380833333333,13.365,16.999,14.613,7.67884561562826,3.634,"N","9784544","THIN",63,22,0,17.6,11.85,23.35,11.5,2.66191666666667,-1.515,6.351,7.866
"68","C1-17",2021-06-23,"C1-17_N","Air","9784544.csv",13.7854166666667,12.207,16.523,13.2205,11.4064695700197,4.316,"N","9784544","THIN",63,23,0,16.55,11.15,21.95,10.8,2.76458333333333,-1.057,5.427,6.484
"69","C1-17",2021-06-12,"C1-17_S","Air","9784512.csv",14.39325,9.965,19.377,14.708,24.2061225060229,9.412,"S","9784512","THIN",63,12,0,14.85,8.15,21.55,13.4,0.45675,-1.815,2.173,3.988
"70","C1-17",2021-06-17,"C1-17_S","Air","9784512.csv",15.4895,12.594,18.806,15.281,16.538570394405,6.212,"S","9784512","THIN",63,17,0,14.8,6.95,22.65,15.7,-0.689499999999999,-5.644,3.844,9.488
"71","C1-17",2021-06-01,"C1-17_N","Air","9784544.csv",21.1390833333333,16.332,27.862,20.8535,17.4724598431395,11.53,"N","9784544","THIN",63,1,0,20.25,10.55,29.95,19.4,-0.889083333333332,-5.782,2.088,7.87
"72","C1-17",2021-06-15,"C1-17_S","Air","9784512.csv",13.5298333333333,11.916,16.523,13.2205,10.3914873031864,4.607,"S","9784512","THIN",63,15,0,13.45,8.45,18.45,10,-0.0798333333333332,-3.466,1.927,5.393
"73","C1-17",2021-06-16,"C1-17_S","Air","9784512.csv",14.7859166666667,11.431,18.806,14.2775,18.4864686087774,7.375,"S","9784512","THIN",63,16,0,14.35,6.15,22.55,16.4,-0.435916666666667,-5.281,3.744,9.025
"74","C1-17",2021-06-08,"C1-17_S","Air","9784512.csv",11.417,8.68,14.325,11.333,18.9746951494581,5.645,"S","9784512","THIN",63,8,0,10.5,3.65,17.35,13.7,-0.917,-5.03,3.025,8.055
"75","C1-17",2021-06-21,"C1-17_S","Air","9784512.csv",19.1979166666667,14.134,23.869,19.187,19.6655728140603,9.735,"S","9784512","THIN",63,21,0,21.95,14.55,29.35,14.8,2.75208333333333,0.416,5.481,5.065
"76","C1-17",2021-06-22,"C1-17_S","Air","9784512.csv",14.9216666666667,13.269,17.189,14.3255,8.59945497173696,3.92,"S","9784512","THIN",63,22,0,17.6,11.85,23.35,11.5,2.67833333333333,-1.419,6.161,7.58
"77","C1-17",2021-06-23,"C1-17_S","Air","9784512.csv",13.888,12.11,17.665,13.2685,13.260015673664,5.555,"S","9784512","THIN",63,23,0,16.55,11.15,21.95,10.8,2.662,-0.959999999999999,4.285,5.245
"78","C1-17",2021-06-24,"C1-17_N","Air","9784544.csv",15.1636666666667,12.69,19.567,14.8515,15.9148823653838,6.877,"N","9784544","THIN",63,24,1,17.7,10.85,24.55,13.7,2.53633333333333,-1.84,4.983,6.823
