"","Date","tmeanC","tminC","tmaxC","RangeR"
"1",2021-06-01,20.25,10.55,29.95,19.4
"2",2021-06-02,17.3,11.15,23.45,12.3
"3",2021-06-03,12.25,5.35,19.15,13.8
"4",2021-06-04,13.75,7.85,19.65,11.8
"5",2021-06-05,10.95,6.55,15.35,8.8
"6",2021-06-06,9.75,5.95,13.55,7.6
"7",2021-06-07,10.45,5.65,15.25,9.6
"8",2021-06-08,10.5,3.65,17.35,13.7
"9",2021-06-09,10.25,3.15,17.35,14.2
"10",2021-06-10,12.1,6.85,17.35,10.5
"11",2021-06-11,12,8.15,15.85,7.7
"12",2021-06-12,14.85,8.15,21.55,13.4
"13",2021-06-13,12.35,8.15,16.55,8.4
"14",2021-06-14,14.55,9.55,19.55,10
"15",2021-06-15,13.45,8.45,18.45,10
"16",2021-06-16,14.35,6.15,22.55,16.4
"17",2021-06-17,14.8,6.95,22.65,15.7
"18",2021-06-18,12.75,5.45,20.05,14.6
"19",2021-06-19,14.6,8.35,20.85,12.5
"20",2021-06-20,20.1,11.35,28.85,17.5
"21",2021-06-21,21.95,14.55,29.35,14.8
"22",2021-06-22,17.6,11.85,23.35,11.5
"23",2021-06-23,16.55,11.15,21.95,10.8
"24",2021-06-24,17.7,10.85,24.55,13.7
"25",2021-06-25,23.15,13.65,32.65,19
"26",2021-06-26,26.4,16.95,35.85,18.9
"27",2021-06-27,31.85,20.35,43.35,23
"28",2021-06-28,25.95,16.05,35.85,19.8
"29",2021-06-29,19.05,14.95,23.15,8.2
"30",2021-06-30,15.9,11.55,20.25,8.7
